Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-11-14,13,79,13.99,No,43213,79.0,4,0,11,4,318,0,0,0,0,0,0,68.0,66.0,50.0,279.60285714285715,255.76183724409756,131.34066666666666
2013-11-15,19,102,13.03,No,37981,102.0,5,0,11,4,319,0,0,0,0,0,0,79.0,116.0,87.0,281.46,253.9934012266199,131.674
2013-11-16,16,188,9.43,No,48566,188.0,6,1,11,4,320,0,0,0,0,0,0,102.0,659.22,137.0,279.46,255.56367999646073,132.60733333333334
2013-11-17,17,140,11.07,No,48310,140.0,7,1,11,4,321,0,0,0,0,0,0,188.0,513.0,121.0,212.14285714285714,193.34893204724338,136.64066666666668
2013-11-18,9,79,9.25,No,39161,79.0,1,0,11,4,322,0,0,0,0,0,0,140.0,463.0,57.0,158.85714285714286,140.89999831018278,138.24066666666667
2013-11-19,15,68,16.46,No,37061,68.0,2,0,11,4,323,0,0,0,0,0,0,79.0,72.0,69.0,104.0,44.58325545164476,136.20733333333334
2013-11-20,12,70,12.87,No,50561,70.0,3,0,11,4,324,0,0,0,0,0,0,68.0,68.0,66.0,103.42857142857143,45.08457660463269,134.9406666666667
2013-11-21,16,84,10.98,No,39843,84.0,4,0,11,4,325,0,0,0,0,0,0,70.0,79.0,66.0,103.71428571428571,44.828243648077205,135.50733333333335
2013-11-22,17,108,12.72,No,48206,108.0,5,0,11,4,326,0,0,0,0,0,0,84.0,102.0,116.0,104.42857142857143,44.40667045560078,136.47400000000002
2013-11-23,24,230,16.24,No,73686,230.0,6,1,11,4,327,0,0,0,0,0,0,108.0,188.0,659.22,105.28571428571429,44.40988735898845,137.70733333333334
2013-11-24,40,160,12.53,No,51416,160.0,7,1,11,4,328,0,0,0,0,0,0,230.0,140.0,513.0,111.28571428571429,58.157012433910715,142.9406666666667
2013-11-25,14,88,14.78,No,48860,88.0,1,0,11,4,329,0,0,0,0,0,0,160.0,79.0,463.0,114.14285714285714,60.25619904880722,144.30733333333333
2013-11-26,13,85,14.06,No,35680,85.0,2,0,11,4,330,0,0,0,0,0,0,88.0,68.0,72.0,115.42857142857143,59.472282459582246,142.20733333333334
2013-11-27,23,175,24.09,No,65270,175.0,3,0,11,4,331,0,0,0,0,0,0,85.0,70.0,68.0,117.85714285714286,57.52804698993479,141.4406666666667
2013-11-28,43,393,19.65,No,72759,393.0,4,0,11,4,332,0,0,0,0,0,0,175.0,84.0,79.0,132.85714285714286,56.65223905968902,144.74066666666667
2013-11-29,62,818,21.72,No,105102,659.22,5,0,11,4,333,1,0,0,0,0,0,393.0,108.0,102.0,177.0,108.70755876816166,155.30733333333333
2013-11-30,21,265,24.51,No,66385,265.0,6,1,11,4,334,0,0,0,0,0,0,659.22,230.0,188.0,255.74571428571429,206.2655714410546,175.08133333333336
2013-12-01,26,189,18.13,No,53559,189.0,7,1,12,4,335,0,0,0,0,0,0,265.0,160.0,140.0,260.7457142857143,205.9614509932335,182.24800000000002
2013-12-02,14,90,14.16,No,56760,90.0,1,0,12,4,336,0,0,0,0,0,0,189.0,88.0,79.0,264.8885714285714,203.87836303611462,185.64800000000002
2013-12-03,15,67,16.59,No,54799,67.0,2,0,12,4,337,0,0,0,0,0,0,90.0,85.0,68.0,265.1742857142857,203.59035494976538,184.08133333333336
2013-12-04,12,101,16.07,No,48549,101.0,3,0,12,4,338,0,0,0,0,0,0,67.0,175.0,70.0,262.60285714285715,206.34040820242382,182.28133333333335
2013-12-05,18,90,18.92,No,54524,90.0,4,0,12,4,339,0,0,0,0,0,0,101.0,393.0,84.0,252.03142857142856,213.35304133669874,183.74800000000002
2013-12-06,23,125,12.94,No,53209,125.0,5,0,12,4,340,0,0,0,0,0,0,90.0,659.22,108.0,208.74571428571429,210.7065873718825,184.448
2013-12-07,24,190,15.72,No,65983,190.0,6,1,12,4,341,0,0,0,0,0,0,125.0,265.0,230.0,132.42857142857142,70.35589798270162,186.41466666666668
2013-12-08,23,181,16.7,No,54231,181.0,7,1,12,4,342,0,0,0,0,0,0,190.0,189.0,160.0,121.71428571428571,49.38864338325185,190.54800000000003
2013-12-09,15,94,15.12,No,51918,94.0,1,0,12,4,343,0,0,0,0,0,0,181.0,90.0,88.0,120.57142857142857,47.6335216098108,192.7146666666667
2013-12-10,12,98,19.92,No,56093,98.0,2,0,12,4,344,0,0,0,0,0,0,94.0,67.0,85.0,121.14285714285714,47.22791749035862,173.87399999999997
2013-12-11,11,114,16.75,No,56731,114.0,3,0,12,4,345,0,0,0,0,0,0,98.0,101.0,175.0,125.57142857142857,42.5239428356032,160.04066666666665
2013-12-12,21,123,13.84,No,50441,123.0,4,0,12,4,346,0,0,0,0,0,0,114.0,90.0,393.0,127.42857142857143,41.54458305185306,148.4073333333333
2013-12-13,20,147,15.36,No,65801,147.0,5,0,12,4,347,0,0,0,0,0,0,123.0,125.0,659.22,132.14285714285714,38.33809494236069,150.10733333333332
2013-12-14,42,310,28.01,No,87785,310.0,6,1,12,4,348,0,0,0,0,0,0,147.0,190.0,265.0,135.28571428571428,38.55608160292445,152.74066666666664
2013-12-15,15,227,24.18,No,73417,227.0,7,1,12,4,349,0,0,0,0,0,0,310.0,181.0,189.0,152.42857142857142,75.71185979941099,160.44066666666666
2013-12-16,13,140,19.97,No,45817,140.0,1,0,12,4,350,0,0,0,0,0,0,227.0,94.0,90.0,159.0,80.45288476286369,164.60733333333332
2013-12-17,15,140,17.14,No,53096,140.0,2,0,12,4,351,0,0,0,0,0,0,140.0,98.0,67.0,165.57142857142858,76.01503610658666,163.00733333333332
2013-12-18,13,189,19.01,No,56767,189.0,3,0,12,4,352,0,0,0,0,0,0,140.0,114.0,101.0,171.57142857142858,71.30417739716012,163.00733333333332
2013-12-19,24,169,18.68,No,49462,169.0,4,0,12,4,353,0,0,0,0,0,0,189.0,123.0,90.0,182.28571428571428,66.69761186557882,166.67399999999998
2013-12-20,18,238,19.09,No,49069,238.0,5,0,12,4,354,0,0,0,0,0,0,169.0,147.0,125.0,188.85714285714286,61.982332352126775,170.04066666666665
2013-12-21,25,344,23.8,No,63129,344.0,6,1,12,4,355,0,0,0,0,0,0,238.0,310.0,190.0,201.85714285714286,61.27922043517561,175.64066666666665
2013-12-22,25,357,21.94,No,64142,357.0,7,1,12,4,356,0,0,0,0,0,0,344.0,227.0,181.0,206.71428571428572,71.7349619216791,184.3073333333333
2013-12-23,14,319,19.43,No,59857,319.0,1,0,12,4,357,0,0,0,0,0,0,357.0,140.0,94.0,225.28571428571428,91.86532585931484,192.60733333333332
2013-12-24,15,158,21.95,No,54615,158.0,2,0,12,4,358,0,0,0,0,0,0,319.0,140.0,98.0,250.85714285714286,89.03824753334685,195.57399999999998
2013-12-25,0,0,0.0,No,0,0.0,3,0,12,4,359,0,0,0,0,0,0,158.0,189.0,114.0,253.42857142857142,85.49241124773827,195.50733333333332
2013-12-26,26,319,17.21,No,50458,319.0,4,0,12,4,360,0,0,0,0,0,0,0.0,169.0,123.0,226.42857142857142,128.33920827616316,192.57399999999998
2013-12-27,25,208,20.05,No,52986,208.0,5,0,12,4,361,0,0,0,0,0,0,319.0,238.0,147.0,247.85714285714286,129.66807442007283,200.37399999999997
2013-12-28,22,272,17.33,No,53680,272.0,6,1,12,4,362,0,0,0,0,0,0,208.0,344.0,310.0,243.57142857142858,130.5409988507534,201.474
2013-12-29,13,217,22.11,No,58826,217.0,7,1,12,4,363,0,0,0,0,0,0,272.0,357.0,227.0,233.28571428571428,123.98079728424926,197.44066666666666
2013-12-30,16,259,15.68,No,47531,259.0,1,0,12,4,364,0,0,0,0,0,0,217.0,319.0,140.0,213.28571428571428,111.34587896237902,182.7
2013-12-31,15,203,17.24,No,45472,203.0,2,0,12,4,365,0,0,0,0,0,0,259.0,158.0,140.0,204.71428571428572,103.91296724617555,182.5
2014-01-01,10,119,19.84,No,42355,119.0,3,0,1,1,1,0,0,0,0,0,0,203.0,0.0,189.0,211.14285714285714,101.91406277092571,182.96666666666667
2014-01-02,18,132,17.68,No,38449,132.0,4,0,1,1,2,0,0,0,0,0,0,119.0,319.0,169.0,228.14285714285714,63.514902638222374,183.93333333333334
2014-01-03,17,135,12.97,No,49785,135.0,5,0,1,1,3,0,0,0,0,0,0,132.0,208.0,238.0,201.42857142857142,58.019701087524595,186.1
2014-01-04,16,165,20.71,No,48343,165.0,6,1,1,1,4,0,0,0,0,0,0,135.0,272.0,344.0,191.0,62.98941710054671,187.23333333333332
2014-01-05,15,103,18.52,No,37970,103.0,7,1,1,1,5,0,0,0,0,0,0,165.0,217.0,357.0,175.71428571428572,52.09835021608709,189.73333333333332
2014-01-06,8,73,21.62,No,42467,73.0,1,0,1,1,6,0,0,0,0,0,0,103.0,259.0,319.0,159.42857142857142,54.79007556987246,189.0
2014-01-07,7,70,18.86,No,40319,70.0,2,0,1,1,7,0,0,0,0,0,0,73.0,203.0,158.0,132.85714285714286,42.08098767625892,185.1
2014-01-08,13,73,19.16,No,36718,73.0,3,0,1,1,8,0,0,0,0,0,0,70.0,119.0,0.0,113.85714285714286,34.4694481699776,181.4
2014-01-09,14,77,17.21,No,39760,77.0,4,0,1,1,9,0,0,0,0,0,0,73.0,132.0,319.0,107.28571428571429,37.57088538444813,180.7
2014-01-10,15,95,16.04,No,39216,95.0,5,0,1,1,10,0,0,0,0,0,0,77.0,135.0,208.0,99.42857142857143,37.291004915648905,180.0
2014-01-11,22,138,16.26,No,36287,138.0,6,1,1,1,11,0,0,0,0,0,0,95.0,165.0,272.0,93.71428571428571,33.836441330386094,179.36666666666667
2014-01-12,17,110,19.01,No,34298,110.0,7,1,1,1,12,0,0,0,0,0,0,138.0,103.0,217.0,89.85714285714286,24.647032082506108,179.86666666666667
2014-01-13,9,63,13.91,No,38437,63.0,1,0,1,1,13,0,0,0,0,0,0,110.0,73.0,259.0,90.85714285714286,25.399662539938458,178.63333333333333
2014-01-14,10,70,17.61,No,39587,70.0,2,0,1,1,14,0,0,0,0,0,0,63.0,70.0,203.0,89.42857142857143,26.813287395473825,170.4
2014-01-15,10,70,15.54,No,37637,70.0,3,0,1,1,15,0,0,0,0,0,0,70.0,73.0,119.0,89.42857142857143,26.813287395473825,165.16666666666666
2014-01-16,18,70,17.8,No,29546,70.0,4,0,1,1,16,0,0,0,0,0,0,70.0,77.0,132.0,89.0,27.141603981094427,162.83333333333334
2014-01-17,11,79,16.28,No,34488,79.0,5,0,1,1,17,0,0,0,0,0,1,70.0,95.0,135.0,88.0,27.77888886666564,160.5
